"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15910","Himachal Pradesh","Construction of community centers and community halls","WS/MP432/2025-2026/239379","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Anurag Singh Thakur","HAMIRPUR_HP","21-Jan-2026","GP Karot","Payment Success","150000"
"15911","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255719","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","12-Jan-2026","PRADEEP CHATURVEDI","Payment Success","1107422"
"15912","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255719","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","24-Mar-2026","PRADEEP CHATURVEDI","Payment Success","562806"
"15913","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255719","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","07-Aug-2026","PRADEEP CHATURVEDI","Payment Success","752514"
"15914","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/255723","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","24-Mar-2026","PRADEEP CHATURVEDI","Payment Success","1402119"
"15915","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2025-2026/224212","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","18-Jun-2026","INFRAPOWER","Payment Success","1557432"
"15916","Uttar Pradesh","Construction of community centers and community halls","WS/MP18392/2026-2027/287641","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","JITIN PRASADA","PILIBHIT","15-Jul-2026","INFRAPOWER","Payment Success","421955"
"15917","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202305","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","175486"
"15918","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202305","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","24514"
"15919","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202306","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","134569"
"15920","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202306","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","18431"
"15921","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202308","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","124991"
"15922","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202308","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","7009"
"15923","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202309","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","223859"
"15924","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202309","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","31141"
"15925","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202310","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","228416"
"15926","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202310","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","20-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","56584"
"15927","Haryana","Improvement of electricity distribution infrastructure","WS/MP18066/2025-2026/202311","FATEHABAD(Deputy Commissioner Fatehabad)","SELJA","SIRSA(SC)","03-Mar-2026","NET RAM MANI RAM ELECTRICAL CARPORATION","Payment Success","95591"
